Algoritmo,File name,Timestamp,Tempo de Processamento (s),Pacotes,Depenências,Peso da mochila,Benefício mochila
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:31:50,0.00078,34,80,12111,11363
VNS,instância_original.knapsack.txt,2025-10-02 16:10:28,3.62658,29,79,12091,10908
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 10:05:20,0.00147,31,81,12152,10636
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:28:04,0.00071,30,79,12137,10547
VND,instância_original.knapsack.txt,2025-10-02 15:46:42,0.79871,28,77,12172,10472
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:28:54,0.00081,27,78,12128,10456
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-10-02 16:10:28,0.00064,30,79,12166,10373
VND,instância_original.knapsack.txt,2025-10-02 16:10:28,0.22970,30,79,12166,10373
VNS,instância_original.knapsack.txt,2025-10-02 16:11:45,10.21817,24,79,12167,10314
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-10-02 15:46:42,0.00063,28,78,12171,10313
VNS,instância_original.knapsack.txt,2025-10-02 16:09:43,3.02703,26,78,12174,10299
VND,instância_original.knapsack.txt,2025-10-02 16:09:54,1.44181,25,78,12174,10299
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 10:06:08,0.00146,29,79,12154,10290
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:33:03,0.00065,28,78,12177,10283
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-10-02 16:09:43,0.00062,27,77,12174,10197
VND,instância_original.knapsack.txt,2025-10-02 16:09:43,0.21040,27,77,12174,10197
VNS,instância_original.knapsack.txt,2025-10-02 15:57:42,5.48765,24,80,12141,10165
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:28:31,0.00063,26,77,12170,10160
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:27:46,0.00064,28,78,12087,10158
VNS,instância_original.knapsack.txt,2025-10-02 16:11:32,3.69284,23,76,12147,10118
VND,instância_original.knapsack.txt,2025-10-02 16:11:32,0.98540,24,77,12162,10102
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:28:12,0.00063,26,78,12150,10097
VNS,instância_original.knapsack.txt,2025-10-02 15:58:40,6.50539,23,79,12167,10062
VNS,instância_original.knapsack.txt,2025-10-02 16:09:28,6.05605,23,79,12167,10062
VND,instância_original.knapsack.txt,2025-10-02 15:57:05,0.72583,27,79,12133,10055
VND,instância_original.knapsack.txt,2025-10-02 15:46:52,1.01977,25,77,12174,10048
VNS,instância_original.knapsack.txt,2025-10-02 15:57:23,3.83837,25,77,12174,10048
VNS,instância_original.knapsack.txt,2025-10-02 16:09:54,3.19279,24,80,12138,9985
VNS,instância_original.knapsack.txt,2025-10-02 15:57:05,3.09837,26,79,12133,9974
