Algoritmo,File name,Timestamp,Tempo de Processamento (s),Pacotes,Depenências,Peso da mochila,Benefício mochila
GRASP | Best Improvement,instancia_original.knapsack.txt,2025-10-12 17:56:16,5.00244,33,81,12145,11454
GRASP | Best Improvement,instancia_original.knapsack.txt,2025-10-12 17:57:15,5.00134,33,81,12145,11454
GRASP | Best Improvement,instancia_original.knapsack.txt,2025-10-12 17:58:25,5.00071,33,81,12145,11454
GRASP | Best Improvement,instancia_original.knapsack.txt,2025-10-12 17:58:58,5.00258,33,81,12145,11454
GRASP | Best Improvement,instancia_original.knapsack.txt,2025-10-12 17:59:25,5.00247,33,81,12090,11340
GRASP | Best Improvement,instancia_original.knapsack.txt,2025-10-12 18:01:06,5.00029,33,81,12090,11340
GRASP | Best Improvement,instancia_original.knapsack.txt,2025-10-12 17:55:01,5.00194,32,81,12156,11239
GRASP | Best Improvement,instancia_original.knapsack.txt,2025-10-12 17:57:55,5.00449,32,81,12156,11239
GRASP | Best Improvement,instancia_original.knapsack.txt,2025-10-12 17:59:54,5.00862,32,81,12156,11239
GRASP | Best Improvement,instancia_original.knapsack.txt,2025-10-12 18:00:28,5.00395,32,81,12156,11239
GREEDY -> Package: Benefit Ratio,instancia_original.knapsack.txt,2025-10-12 17:56:16,0.00142,29,80,12306,9893
VNS | First Improvement,instancia_original.knapsack.txt,2025-10-12 17:56:16,0.00374,29,80,12306,9893
VNS | Best Improvement,instancia_original.knapsack.txt,2025-10-12 17:56:16,0.00176,29,80,12306,9893
VNS | Random Improvement,instancia_original.knapsack.txt,2025-10-12 17:56:16,0.00673,29,80,12306,9893
GREEDY -> Package: Benefit Ratio,instancia_original.knapsack.txt,2025-10-12 17:59:54,0.00109,29,80,12306,9893
VNS | First Improvement,instancia_original.knapsack.txt,2025-10-12 17:59:54,0.00296,29,80,12306,9893
VNS | Best Improvement,instancia_original.knapsack.txt,2025-10-12 17:59:54,0.00144,29,80,12306,9893
VNS | Random Improvement,instancia_original.knapsack.txt,2025-10-12 17:59:54,0.00846,29,80,12306,9893
