Algoritmo,File name,Timestamp,Tempo de Processamento (s),Pacotes,Depenências,Peso da mochila,Benefício mochila
VNS,instancia_original.knapsack.txt,2025-10-16 16:43:06,8.38503,33,82,12175,11513
VND,instancia_original.knapsack.txt,2025-10-16 16:43:06,5.87148,32,80,12158,11440
GRASP,instancia_original.knapsack.txt,2025-10-16 16:43:06,120.02704,28,82,12165,10716
GREEDY -> Package: Benefit Ratio,instancia_original.knapsack.txt,2025-10-16 16:43:06,0.00028,28,79,12085,9868
GREEDY -> Package: Benefit,instancia_original.knapsack.txt,2025-10-16 16:43:06,0.00036,25,77,12105,9515
RANDOM_GREEDY (Package: Size),instancia_original.knapsack.txt,2025-10-16 16:43:06,0.00029,31,82,12144,9383
RANDOM_GREEDY (Package: Benefit),instancia_original.knapsack.txt,2025-10-16 16:43:06,0.00044,22,76,12168,8996
GREEDY -> Package: Size,instancia_original.knapsack.txt,2025-10-16 16:43:06,0.00038,29,81,12171,8668
RANDOM_GREEDY (Package: Benefit Ratio),instancia_original.knapsack.txt,2025-10-16 16:43:06,0.00028,22,76,12159,8043
RANDOM,instancia_original.knapsack.txt,2025-10-16 16:43:06,0.00031,22,80,12137,6025
