Algoritmo, Movement,File name,Timestamp,Tempo de Processamento (s),Pacotes,Depenências,Peso da mochila,Benefício mochila
RANDOM | None,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 07:21:50,0.00077,22,76,12152,6446
GREEDY -> Package: Benefit Ratio | None,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 07:21:50,0.00073,28,79,12085,9868
GREEDY -> Package: Benefit | None,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 07:21:50,0.00077,25,77,12105,9515
GREEDY -> Package: Size | None,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 07:21:50,0.00085,29,81,12171,8668
RANDOM_GREEDY (Package: Benefit) | None,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 07:21:50,0.00099,26,78,12158,9834
RANDOM_GREEDY (Package: Benefit Ratio) | None,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 07:21:50,0.00075,18,77,12180,7263
RANDOM_GREEDY (Package: Size) | None,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 07:21:50,0.00064,23,79,12144,7453
VND | None,ADD,instancia_original.knapsack.txt,2025-10-17 07:21:50,8.82762,32,80,12158,11440
VNS | None,ADD,instancia_original.knapsack.txt,2025-10-17 07:21:50,7.81440,33,82,12175,11513
GRASP | None,EJECTION_CHAIN,instancia_original.knapsack.txt,2025-10-17 07:21:50,30.00826,33,82,12113,11768
RANDOM | None,EJECTION_CHAIN,sukp29_500_485_0.15_0.85.knapsack.txt,2025-10-17 07:59:20,0.00723,12,407,67395,3246
GREEDY -> Package: Benefit Ratio | None,EJECTION_CHAIN,sukp29_500_485_0.15_0.85.knapsack.txt,2025-10-17 07:59:20,0.00712,15,419,67403,7287
GREEDY -> Package: Benefit | None,EJECTION_CHAIN,sukp29_500_485_0.15_0.85.knapsack.txt,2025-10-17 07:59:20,0.00686,13,417,67470,6651
GREEDY -> Package: Size | None,EJECTION_CHAIN,sukp29_500_485_0.15_0.85.knapsack.txt,2025-10-17 07:59:20,0.00697,17,422,67499,4965
RANDOM_GREEDY (Package: Benefit) | None,EJECTION_CHAIN,sukp29_500_485_0.15_0.85.knapsack.txt,2025-10-17 07:59:20,0.00717,12,411,67457,6076
RANDOM_GREEDY (Package: Benefit Ratio) | None,EJECTION_CHAIN,sukp29_500_485_0.15_0.85.knapsack.txt,2025-10-17 07:59:20,0.00733,15,414,67046,7272
RANDOM_GREEDY (Package: Size) | None,EJECTION_CHAIN,sukp29_500_485_0.15_0.85.knapsack.txt,2025-10-17 07:59:20,0.00733,18,425,67490,5001
VND | None,SWAP_REMOVE_1_ADD_2,sukp29_500_485_0.15_0.85.knapsack.txt,2025-10-17 07:59:20,30.34580,15,414,66930,7367
VNS | None,EJECTION_CHAIN,sukp29_500_485_0.15_0.85.knapsack.txt,2025-10-17 07:59:20,30.00850,15,419,67403,7287
GRASP | None,EJECTION_CHAIN,sukp29_500_485_0.15_0.85.knapsack.txt,2025-10-17 07:59:20,30.14525,21,424,67393,9456
