Algorithm,Movement,Feasibility Strategy,File name,Timestamp,Processing Time (h:m:s.ms),Packages,Dependencies,Bag Weight,Bag Benefit
RANDOM,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:00:00114,34,65,11999,8697
RANDOM,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:00:00056,29,66,12007,7980
GREEDY_PACKAGE-BENEFIT,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:00:00058,23,66,12001,8881
GREEDY_PACKAGE-BENEFIT_RATIO,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:00:00060,33,67,12013,11350
GREEDY_PACKAGE-BENEFIT_RATIO,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:00:00057,33,67,12013,11350
GREEDY_PACKAGE-SIZE,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:00:00056,30,66,12008,7592
GREEDY_PACKAGE-SIZE,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:00:00054,30,66,12008,7592
GREEDY_PACKAGE-BENEFIT,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:00:00038,27,66,12009,9528
0:00057,27,63,11978,9587
GREEDY_PACKAGE-BENEFIT_RATIO,EJECTION_CHAIN,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:00:00040,37,68,11929,11341
RANDOM_GREEDY_PACKAGE-SIZE,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:00:00050,30,64,11954,7857
GRASP,SWAP_REMOVE_2_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:09:69932,26,66,11609,9905
GRASP,SWAP_REMOVE_2_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:10:14511,25,66,11768,9814
GRASP,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:28:95562,37,69,12003,12054
GRASP,ADD,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:29:05724,39,69,12013,12522
GRASP,SWAP_REMOVE_1_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:30:90982,24,68,11980,10222
GRASP,SWAP_REMOVE_1_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt,2025-10-24_12-44-52,00:00:32:40369,24,67,11976,10274
