Algorithm,Movement,Feasibility Strategy,File name,Timestamp,Processing Time (h:m:s.ms),Packages,Dependencies,Bag Weight,Bag Benefit,Seed,
RANDOM,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:00:00034,29,66,12005,7487,75,
GREEDY_PACKAGE-BENEFIT,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:00:00026,23,66,12001,8881,75,
GREEDY_PACKAGE-BENEFIT_RATIO,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:00:00052,33,67,12013,11350,75,
GREEDY_PACKAGE-SIZE,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:00:00058,30,66,12008,7592,75,
GREEDY_PACKAGE-BENEFIT,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:00:00060,30,66,11988,10084,75,
GREEDY_PACKAGE-BENEFIT_RATIO,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:00:00058,34,69,11960,10741,75,
RANDOM_GREEDY_PACKAGE-SIZE,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:00:00054,29,66,11968,7156,75,
VND,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:02:00765,41,68,12003,12763,75,
VNS,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:00:00735,41,68,12003,12763,75,
GRASP,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:00:02002,28,65,12011,6867,75,
GRASP_VNS,ADD,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:01:67196,33,68,11927,9219,75,
GRASP,SWAP_REMOVE_1_ADD_1,SMART,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:00:04380,28,65,12011,6867,75,
GRASP_VNS,SWAP_REMOVE_1_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:01:85704,33,68,11993,8351,75,
GRASP,SWAP_REMOVE_1_ADD_2,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:00:03279,28,65,12011,6867,75,
GRASP_VNS,SWAP_REMOVE_1_ADD_2,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:02:00080,34,69,11997,8088,75,
GRASP,SWAP_REMOVE_2_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:00:04126,28,65,12011,6867,75,
GRASP_VNS,SWAP_REMOVE_2_ADD_1,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:01:83503,33,67,11988,8805,75,
GRASP,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:00:03506,28,65,12011,6867,75,
GRASP_VNS,EJECTION_CHAIN,PROBABILISTIC_GREEDY,sukp02_100_85_0.10_0.75.knapsack.txt-2025-10-26_12-40-43,2025-10-26_12-40-43 | execution: 1,00:00:01:94770,31,68,11974,7845,75,
