Algoritmo,Movement,File name,Timestamp,Tempo de Processamento (s),Pacotes,Depenências,Peso da mochila,Benefício mochila
RANDOM,EJECTION_CHAIN,Knapsack-problem,2025-10-17 08:41:42,0.00033,20,76,12172,6644
GREEDY -> Package: Benefit Ratio,EJECTION_CHAIN,Knapsack-problem,2025-10-17 08:41:42,0.00030,28,79,12085,9868
GREEDY -> Package: Benefit,EJECTION_CHAIN,Knapsack-problem,2025-10-17 08:41:42,0.00026,25,77,12105,9515
GREEDY -> Package: Size,EJECTION_CHAIN,Knapsack-problem,2025-10-17 08:41:42,0.00029,29,81,12171,8668
RANDOM_GREEDY (Package: Benefit),EJECTION_CHAIN,Knapsack-problem,2025-10-17 08:41:42,0.00033,24,78,12137,9320
RANDOM_GREEDY (Package: Benefit Ratio),EJECTION_CHAIN,Knapsack-problem,2025-10-17 08:41:42,0.00033,24,79,12168,9338
RANDOM_GREEDY (Package: Size),EJECTION_CHAIN,Knapsack-problem,2025-10-17 08:41:42,0.00037,29,81,12121,8891
VND,ADD,Knapsack-problem,2025-10-17 08:41:42,8.81801,32,80,12158,11440
VNS,ADD,Knapsack-problem,2025-10-17 08:41:42,8.22907,32,80,12158,11440
GRASP,EJECTION_CHAIN,Knapsack-problem,2025-10-17 08:41:42,30.00365,33,82,12113,11768
